"category_id","category_name","value_id","value_name"
"10","Frog vocalizing","20","Single calls"
"10","Frog vocalizing","21","Overlapping calls"
"10","Frog vocalizing","22","Full chorus"
"11","Breaking leaf buds","32","Less than 3"
"11","Breaking leaf buds","33","3 to 10"
"11","Breaking leaf buds","34","More than 10"
"12","Leaf canopy fullness","25","Less than 5%"
"12","Leaf canopy fullness","26","5-24%"
"12","Leaf canopy fullness","27","25-49%"
"12","Leaf canopy fullness","28","50-74%"
"12","Leaf canopy fullness","29","75-94%"
"12","Leaf canopy fullness","30","95% or more"
"13","Leaf size","31","Less than 25%"
"13","Leaf size","27","25-49%"
"13","Leaf size","28","50-74%"
"13","Leaf size","29","75-94%"
"13","Leaf size","30","95% or more"
"14","Colored leaf proportion","30","95% or more"
"14","Colored leaf proportion","29","75-94%"
"14","Colored leaf proportion","28","50-74%"
"14","Colored leaf proportion","27","25-49%"
"14","Colored leaf proportion","26","5-24%"
"14","Colored leaf proportion","25","Less than 5%"
"15","Young leaves present","32","Less than 3"
"15","Young leaves present","33","3 to 10"
"15","Young leaves present","34","More than 10"
"16","Young needles present","32","Less than 3"
"16","Young needles present","33","3 to 10"
"16","Young needles present","34","More than 10"
"17","Emerging needles","32","Less than 3"
"17","Emerging needles","33","3 to 10"
"17","Emerging needles","34","More than 10"
"18","Young needle bundles present","32","Less than 3"
"18","Young needle bundles present","33","3 to 10"
"18","Young needle bundles present","34","More than 10"
"19","Needle canopy fullness","25","Less than 5%"
"19","Needle canopy fullness","26","5-24%"
"19","Needle canopy fullness","27","25-49%"
"19","Needle canopy fullness","28","50-74%"
"19","Needle canopy fullness","29","75-94%"
"19","Needle canopy fullness","30","95% or more"
"20","Colored needle proportion","30","95% or more"
"20","Colored needle proportion","29","75-94%"
"20","Colored needle proportion","28","50-74%"
"20","Colored needle proportion","27","25-49%"
"20","Colored needle proportion","26","5-24%"
"20","Colored needle proportion","25","Less than 5%"
"21","Initial growth of buds or shoots","32","Less than 3"
"21","Initial growth of buds or shoots","33","3 to 10"
"21","Initial growth of buds or shoots","34","More than 10"
"22","Initial growth of shoots","32","Less than 3"
"22","Initial growth of shoots","33","3 to 10"
"22","Initial growth of shoots","34","More than 10"
"23","Fruits present","32","Less than 3"
"23","Fruits present","33","3 to 10"
"23","Fruits present","34","More than 10"
"24","Ripe fruits present","32","Less than 3"
"24","Ripe fruits present","33","3 to 10"
"24","Ripe fruits present","34","More than 10"
"25","Recent fruit drop","32","Less than 3"
"25","Recent fruit drop","33","3 to 10"
"25","Recent fruit drop","34","More than 10"
"26","Unripe seed cones present","32","Less than 3"
"26","Unripe seed cones present","33","3 to 10"
"26","Unripe seed cones present","34","More than 10"
"27","Ripe seed cones present","32","Less than 3"
"27","Ripe seed cones present","33","3 to 10"
"27","Ripe seed cones present","34","More than 10"
"28","Recent seed cone drop","32","Less than 3"
"28","Recent seed cone drop","33","3 to 10"
"28","Recent seed cone drop","34","More than 10"
"29","Open flowers","32","Less than 3"
"29","Open flowers","33","3 to 10"
"29","Open flowers","34","More than 10"
"30","Pollen release of flowers","32","Less than 3"
"30","Pollen release of flowers","33","3 to 10"
"30","Pollen release of flowers","34","More than 10"
"31","Open flowers (peak)","32","Less than 3"
"31","Open flowers (peak)","33","3 to 10"
"31","Open flowers (peak)","34","More than 10"
"31","Open flowers (peak)","35","Peak flower"
"32","Pollen release of flowers (peak)","32","Less than 3"
"32","Pollen release of flowers (peak)","33","3 to 10"
"32","Pollen release of flowers (peak)","34","More than 10"
"32","Pollen release of flowers (peak)","36","Peak pollen"
"33","Open pollen cones (peak)","32","Less than 3"
"33","Open pollen cones (peak)","33","3 to 10"
"33","Open pollen cones (peak)","34","More than 10"
"33","Open pollen cones (peak)","37","Peak opening"
"34","Pollen release of cones (peak)","32","Less than 3"
"34","Pollen release of cones (peak)","33","3 to 10"
"34","Pollen release of cones (peak)","34","More than 10"
"34","Pollen release of cones (peak)","38","Peak pollen"
"35","Flowers or flower heads present","32","Less than 3"
"35","Flowers or flower heads present","33","3 to 10"
"35","Flowers or flower heads present","34","More than 10"
"36","Pollen cones present","32","Less than 3"
"36","Pollen cones present","33","3 to 10"
"36","Pollen cones present","34","More than 10"
"37","Flower heads present","32","Less than 3"
"37","Flower heads present","33","3 to 10"
"37","Flower heads present","34","More than 10"
"38","Plant greeness","25","Less than 5%"
"38","Plant greeness","26","5-24%"
"38","Plant greeness","27","25-49%"
"38","Plant greeness","28","50-74%"
"38","Plant greeness","29","75-94%"
"38","Plant greeness","30","95% or more"
"39","Breaking leaf buds (10000)","32","Less than 3"
"39","Breaking leaf buds (10000)","33","3 to 10"
"39","Breaking leaf buds (10000)","39","11 to 100"
"39","Breaking leaf buds (10000)","40","101 to 1,000"
"39","Breaking leaf buds (10000)","41","1,001 to 10,000"
"39","Breaking leaf buds (10000)","42","More than 10,000"
"40","Leaf canopy fullness (dead branch)","25","Less than 5%"
"40","Leaf canopy fullness (dead branch)","26","5-24%"
"40","Leaf canopy fullness (dead branch)","27","25-49%"
"40","Leaf canopy fullness (dead branch)","28","50-74%"
"40","Leaf canopy fullness (dead branch)","29","75-94%"
"40","Leaf canopy fullness (dead branch)","30","95% or more"
"41","Leaf size","31","Less than 25%"
"41","Leaf size","27","25-49%"
"41","Leaf size","28","50-74%"
"41","Leaf size","29","75-94%"
"41","Leaf size","30","95% or more"
"42","Colored leaf percentage","25","Less than 5%"
"42","Colored leaf percentage","26","5-24%"
"42","Colored leaf percentage","27","25-49%"
"42","Colored leaf percentage","28","50-74%"
"42","Colored leaf percentage","29","75-94%"
"42","Colored leaf percentage","30","95% or more"
"43","Young leaves present (10000)","32","Less than 3"
"43","Young leaves present (10000)","33","3 to 10"
"43","Young leaves present (10000)","39","11 to 100"
"43","Young leaves present (10000)","40","101 to 1,000"
"43","Young leaves present (10000)","41","1,001 to 10,000"
"43","Young leaves present (10000)","42","More than 10,000"
"44","Young needles present (10000)","32","Less than 3"
"44","Young needles present (10000)","33","3 to 10"
"44","Young needles present (10000)","39","11 to 100"
"44","Young needles present (10000)","40","101 to 1,000"
"44","Young needles present (10000)","41","1,001 to 10,000"
"44","Young needles present (10000)","42","More than 10,000"
"45","Emerging needles (10000)","32","Less than 3"
"45","Emerging needles (10000)","33","3 to 10"
"45","Emerging needles (10000)","39","11 to 100"
"45","Emerging needles (10000)","40","101 to 1,000"
"45","Emerging needles (10000)","41","1,001 to 10,000"
"45","Emerging needles (10000)","42","More than 10,000"
"46","Needle canopy fullness (dead branch)","25","Less than 5%"
"46","Needle canopy fullness (dead branch)","26","5-24%"
"46","Needle canopy fullness (dead branch)","27","25-49%"
"46","Needle canopy fullness (dead branch)","28","50-74%"
"46","Needle canopy fullness (dead branch)","29","75-94%"
"46","Needle canopy fullness (dead branch)","30","95% or more"
"47","Colored needle percentage","25","Less than 5%"
"47","Colored needle percentage","26","5-24%"
"47","Colored needle percentage","27","25-49%"
"47","Colored needle percentage","28","50-74%"
"47","Colored needle percentage","29","75-94%"
"47","Colored needle percentage","30","95% or more"
"48","Flowers and flower buds (10000)","32","Less than 3"
"48","Flowers and flower buds (10000)","33","3 to 10"
"48","Flowers and flower buds (10000)","39","11 to 100"
"48","Flowers and flower buds (10000)","40","101 to 1,000"
"48","Flowers and flower buds (10000)","41","1,001 to 10,000"
"48","Flowers and flower buds (10000)","42","More than 10,000"
"49","Flowers and flower buds (1000)","32","Less than 3"
"49","Flowers and flower buds (1000)","33","3 to 10"
"49","Flowers and flower buds (1000)","39","11 to 100"
"49","Flowers and flower buds (1000)","40","101 to 1,000"
"49","Flowers and flower buds (1000)","43","More than 1,000"
"50","Open flowers percentage (individual)","25","Less than 5%"
"50","Open flowers percentage (individual)","26","5-24%"
"50","Open flowers percentage (individual)","27","25-49%"
"50","Open flowers percentage (individual)","28","50-74%"
"50","Open flowers percentage (individual)","29","75-94%"
"50","Open flowers percentage (individual)","30","95% or more"
"51","Pollen release","44","Little"
"51","Pollen release","45","Some"
"51","Pollen release","46","Lots"
"52","Flower heads present (1000)","32","Less than 3"
"52","Flower heads present (1000)","33","3 to 10"
"52","Flower heads present (1000)","39","11 to 100"
"52","Flower heads present (1000)","40","101 to 1,000"
"52","Flower heads present (1000)","43","More than 1,000"
"53","Open flowers percentage","25","Less than 5%"
"53","Open flowers percentage","26","5-24%"
"53","Open flowers percentage","27","25-49%"
"53","Open flowers percentage","28","50-74%"
"53","Open flowers percentage","29","75-94%"
"53","Open flowers percentage","30","95% or more"
"54","Pollen cones present (10000)","32","Less than 3"
"54","Pollen cones present (10000)","33","3 to 10"
"54","Pollen cones present (10000)","39","11 to 100"
"54","Pollen cones present (10000)","40","101 to 1,000"
"54","Pollen cones present (10000)","41","1,001 to 10,000"
"54","Pollen cones present (10000)","42","More than 10,000"
"55","Open pollen cones percentage","25","Less than 5%"
"55","Open pollen cones percentage","26","5-24%"
"55","Open pollen cones percentage","27","25-49%"
"55","Open pollen cones percentage","28","50-74%"
"55","Open pollen cones percentage","29","75-94%"
"55","Open pollen cones percentage","30","95% or more"
"56","Fruits present (10000)","32","Less than 3"
"56","Fruits present (10000)","33","3 to 10"
"56","Fruits present (10000)","39","11 to 100"
"56","Fruits present (10000)","40","101 to 1,000"
"56","Fruits present (10000)","41","1,001 to 10,000"
"56","Fruits present (10000)","42","More than 10,000"
"57","Fruits present (1000)","32","Less than 3"
"57","Fruits present (1000)","33","3 to 10"
"57","Fruits present (1000)","39","11 to 100"
"57","Fruits present (1000)","40","101 to 1,000"
"57","Fruits present (1000)","43","More than 1,000"
"58","Ripe fruit percentage","25","Less than 5%"
"58","Ripe fruit percentage","26","5-24%"
"58","Ripe fruit percentage","27","25-49%"
"58","Ripe fruit percentage","28","50-74%"
"58","Ripe fruit percentage","29","75-94%"
"58","Ripe fruit percentage","30","95% or more"
"59","Recent fruit or seed drop (10000)","32","Less than 3"
"59","Recent fruit or seed drop (10000)","33","3 to 10"
"59","Recent fruit or seed drop (10000)","39","11 to 100"
"59","Recent fruit or seed drop (10000)","40","101 to 1,000"
"59","Recent fruit or seed drop (10000)","41","1,001 to 10,000"
"59","Recent fruit or seed drop (10000)","42","More than 10,000"
"60","Recent fruit or seed drop (1000)","32","Less than 3"
"60","Recent fruit or seed drop (1000)","33","3 to 10"
"60","Recent fruit or seed drop (1000)","39","11 to 100"
"60","Recent fruit or seed drop (1000)","40","101 to 1,000"
"60","Recent fruit or seed drop (1000)","43","More than 1,000"
"61","Unripe seed cones present (10000)","32","Less than 3"
"61","Unripe seed cones present (10000)","33","3 to 10"
"61","Unripe seed cones present (10000)","39","11 to 100"
"61","Unripe seed cones present (10000)","40","101 to 1,000"
"61","Unripe seed cones present (10000)","41","1,001 to 10,000"
"61","Unripe seed cones present (10000)","42","More than 10,000"
"62","Ripe seed cones present (10000)","32","Less than 3"
"62","Ripe seed cones present (10000)","33","3 to 10"
"62","Ripe seed cones present (10000)","39","11 to 100"
"62","Ripe seed cones present (10000)","40","101 to 1,000"
"62","Ripe seed cones present (10000)","41","1,001 to 10,000"
"62","Ripe seed cones present (10000)","42","More than 10,000"
"63","Recent cone or seed drop (10000)","32","Less than 3"
"63","Recent cone or seed drop (10000)","33","3 to 10"
"63","Recent cone or seed drop (10000)","39","11 to 100"
"63","Recent cone or seed drop (10000)","40","101 to 1,000"
"63","Recent cone or seed drop (10000)","41","1,001 to 10,000"
"63","Recent cone or seed drop (10000)","42","More than 10,000"
"64","New side branches (1000)","32","Less than 3"
"64","New side branches (1000)","33","3 to 10"
"64","New side branches (1000)","39","11 to 100"
"64","New side branches (1000)","40","101 to 1,000"
"64","New side branches (1000)","43","More than 1,000"
"65","Receptacles (1000)","32","Less than 3"
"65","Receptacles (1000)","33","3 to 10"
"65","Receptacles (1000)","39","11 to 100"
"65","Receptacles (1000)","40","101 to 1,000"
"65","Receptacles (1000)","43","More than 1,000"
"66","Receptacles percentage","25","Less than 5%"
"66","Receptacles percentage","26","5-24%"
"66","Receptacles percentage","27","25-49%"
"66","Receptacles percentage","28","50-74%"
"66","Receptacles percentage","29","75-94%"
"66","Receptacles percentage","30","95% or more"
"67","Hexagenia mayfly emergence","47","Slight"
"67","Hexagenia mayfly emergence","48","Light"
"67","Hexagenia mayfly emergence","49","Moderate"
"67","Hexagenia mayfly emergence","50","Heavy"
"67","Hexagenia mayfly emergence","51","Very heavy"
"68","Hexagenia mayfly death","47","Slight"
"68","Hexagenia mayfly death","48","Light"
"68","Hexagenia mayfly death","49","Moderate"
"68","Hexagenia mayfly death","50","Heavy"
"68","Hexagenia mayfly death","51","Very heavy"
"69","Young needle bundles present (10000)","32","Less than 3"
"69","Young needle bundles present (10000)","33","3 to 10"
"69","Young needle bundles present (10000)","39","11 to 100"
"69","Young needle bundles present (10000)","40","101 to 1,000"
"69","Young needle bundles present (10000)","41","1,001 to 10,000"
"69","Young needle bundles present (10000)","42","More than 10,000"
"70","Emerging needle bundles (10000)","32","Less than 3"
"70","Emerging needle bundles (10000)","33","3 to 10"
"70","Emerging needle bundles (10000)","39","11 to 100"
"70","Emerging needle bundles (10000)","40","101 to 1,000"
"70","Emerging needle bundles (10000)","41","1,001 to 10,000"
"70","Emerging needle bundles (10000)","42","More than 10,000"
"71","Potential needle canopy fullness (dead branch)","25","Less than 5%"
"71","Potential needle canopy fullness (dead branch)","26","5-24%"
"71","Potential needle canopy fullness (dead branch)","27","25-49%"
"71","Potential needle canopy fullness (dead branch)","28","50-74%"
"71","Potential needle canopy fullness (dead branch)","29","75-94%"
"71","Potential needle canopy fullness (dead branch)","30","95% or more"
"72","Potential needle canopy color (dead branch)","25","Less than 5%"
"72","Potential needle canopy color (dead branch)","26","5-24%"
"72","Potential needle canopy color (dead branch)","27","25-49%"
"72","Potential needle canopy color (dead branch)","28","50-74%"
"72","Potential needle canopy color (dead branch)","29","75-94%"
"72","Potential needle canopy color (dead branch)","30","95% or more"
"73","Potential leaf canopy fullness (dead branch)","25","Less than 5%"
"73","Potential leaf canopy fullness (dead branch)","26","5-24%"
"73","Potential leaf canopy fullness (dead branch)","27","25-49%"
"73","Potential leaf canopy fullness (dead branch)","28","50-74%"
"73","Potential leaf canopy fullness (dead branch)","29","75-94%"
"73","Potential leaf canopy fullness (dead branch)","30","95% or more"
"74","Potential leaf canopy color (dead branch)","25","Less than 5%"
"74","Potential leaf canopy color (dead branch)","26","5-24%"
"74","Potential leaf canopy color (dead branch)","27","25-49%"
"74","Potential leaf canopy color (dead branch)","28","50-74%"
"74","Potential leaf canopy color (dead branch)","29","75-94%"
"74","Potential leaf canopy color (dead branch)","30","95% or more"
"75","Courtship calling","20","Single calls"
"75","Courtship calling","21","Overlapping calls"
"75","Courtship calling","22","Full chorus"
