"Timestamp","Observer","Date.Observed","Species","PlantNumber","Notes","leaf.breaking.buds.observed","leaf.breaking.buds.intensity","leaf.present.observed","leaf.present.intensity","leaf.increasing.observed","leaf.increasing.intensity","leaf.color.observed","leaf.color.intensity","leaf.falling.observed","flower.buds.observed","flower.buds.intensity","flower.open.observed","flower.open.intensity","flower.pollen.observed","flower.pollen.intensity","fruit.present.observed","fruit.present.intensity","fruit.ripe.observed","fruit.ripe.intensity","fruit.drop.observed","fruit.drop.intensity","Collection","Year"
2024-10-22,"PMcGrath",2024-10-17,"acer palmatum","934-26*1","","No","","Yes",">95%","No","","Yes",">95%","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-10-17,"acer maximowiczi","320-2011*2","","No","","Yes",">95%","No","","Yes","5-24%","?","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-10-11,"acer palmatum","2389-26*1","","No","","Yes",">95%","No","","Yes","5-24%","?","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-10-17,"acer palmatum","2389-26*1","","No","","Yes",">95%","No","","Yes","5-24%","?","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-09-24,"acer palmatum","934-26*2","","No","","Yes",">95%","No","","No","","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-09-24,"acer Pictum","629-39*1","","No","","Yes",">95%","No","","No","","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-09-17,"acer griseum","349-54*1","","No","","Yes",">95%","No","","No","","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-10-11,"acer griseum","349-54*1","","No","","Yes",">95%","No","","Yes","5-24%","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-09-24,"acer spicatum","9-2018*2","","No","","Yes",">95%","No","","No","","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-10-17,"acer saccharum","66-72*1","","No","","Yes",">95%","No","","Yes","75-94%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-09-24,"acer saccharum","135-69*2","","No","","Yes",">95%","No","","Yes","5-24%","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-10-11,"acer cappadocicum","456-2009*1","","No","","Yes",">95%","No","","Yes","<5%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-10-11,"acer palmatum","934-26*1","","No","","Yes",">95%","No","","Yes","<5%","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-09-24,"acer maximowiczi","320-2011*2","","No","","Yes",">95%","No","","Yes","5-24%","?","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-10-11,"acer maximowiczi","320-2011*2","","No","","Yes",">95%","No","","Yes","5-24%","?","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-09-24,"acer palmatum","2389-26*1","","No","","Yes",">95%","No","","Yes","5-24%","?","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-10-11,"acer palmatum","934-26*2","","No","","Yes",">95%","No","","No","","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-10-17,"acer palmatum","934-26*2","","No","","Yes",">95%","No","","Yes","5-24%","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-10-11,"acer Pictum","629-39*1","","No","","Yes",">95%","No","","No","","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-10-17,"acer Pictum","629-39*1","","No","","Yes",">95%","No","","Yes","5-24%","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-10-11,"acer spicatum","9-2018*2","","No","","Yes",">95%","No","","No","","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-10-17,"acer spicatum","9-2018*2","","No","","Yes",">95%","No","","No","","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-09-24,"acer saccharum","66-72*1","","No","","Yes",">95%","No","","Yes","5-24%","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-10-11,"acer saccharum","66-72*1","","No","","Yes",">95%","No","","Yes","25-49%","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-10-11,"acer saccharum","135-69*2","","No","","Yes",">95%","No","","Yes","25-49%","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-10-17,"acer saccharum","135-69*2","","No","","Yes",">95%","No","","Yes","75-94%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-09-24,"acer davidii","418-2018*3","","No","","Yes",">95%","No","","Yes","<5%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-10-11,"acer davidii","418-2018*3","","No","","Yes",">95%","No","","Yes","5-24%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-10-17,"acer davidii","418-2018*3","","No","","Yes",">95%","No","","Yes","5-24%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-09-24,"acer cappadocicum","456-2009*1","","No","","Yes",">95%","No","","Yes","<5%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-22,"PMcGrath",2024-10-17,"acer cappadocicum","456-2009*1","","No","","Yes",">95%","No","","Yes","<5%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-23,"PMcGrath",2024-09-24,"acer saccharum","135-69*1","","No","","Yes",">95%","No","","Yes","<5%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-23,"PMcGrath",2024-10-11,"acer saccharum","135-69*1","","No","","Yes",">95%","No","","Yes","25-49%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-23,"PMcGrath",2024-09-24,"acer heidreichii","457-2009*1","","No","","Yes",">95%","No","","Yes","<5%","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-23,"PMcGrath",2024-10-17,"acer heidreichii","457-2009*1","","No","","Yes",">95%","No","","Yes","25-49%","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-23,"PMcGrath",2024-10-11,"acer sterulliacum","78-2003*2","","No","","Yes",">95%","No","","Yes","5-24%","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-23,"PMcGrath",2024-10-11,"acer heidreichii","457-2009*2","","No","","Yes",">95%","No","","Yes","5-24%","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-23,"PMcGrath",2024-10-17,"acer saccharum","135-69*1","","No","","Yes",">95%","No","","Yes","25-49%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-23,"PMcGrath",2024-10-11,"acer heidreichii","457-2009*1","","No","","Yes",">95%","No","","Yes","5-24%","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-23,"PMcGrath",2024-09-24,"acer sterulliacum","78-2003*2","","No","","Yes",">95%","No","","Yes","5-24%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-23,"PMcGrath",2024-10-17,"acer sterulliacum","78-2003*2","","No","","Yes",">95%","No","","Yes","75-94%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-23,"PMcGrath",2024-09-24,"acer heidreichii","457-2009*2","","No","","Yes",">95%","No","","Yes","<5%","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-23,"PMcGrath",2024-10-17,"acer heidreichii","457-2009*2","","No","","Yes",">95%","No","","Yes","5-24%","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-10-23,"PMcGrath",2024-09-24,"acer Floridanum","420-2006*1","","No","","Yes",">95%","No","","Yes","<5%","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-02,"acer maximowiczi","320-2011*2",">95% of leaves have fallen","No","","Yes","","No","","Yes","","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-23,"acer palmatum","934-26*1","","No","","Yes","","No","","Yes","5-24%","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-30,"acer palmatum","2389-26*1","5% loss of leaves","No","","Yes",">95%","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-30,"acer saccharum","655-56*1","5% of leaves have fallen","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-23,"acer madshuricum","321-2000*1","95% of leaves have fallen","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-30,"acer Floridanum","420-2006*1","60% leaves have fallen","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-30,"acer heidreichii","457-2009*2","95% of leaves have fallen","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-23,"acer sterulliacum","78-2003*2","10% leaves have fallen","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-30,"acer saccharum","135-69*1","90% of leaves have fallen","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-30,"acer davidii","418-2018*3","90% of leaves have fallen","No","","Yes","Select an option","No","","Yes","75-94%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-23,"acer saccharum","135-69*2","85% of leaves have fallen","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-23,"acer cappadocicum","456-2009*1","90% of leaves have fallen","No","","Yes","","No","","Yes","75-94%","Yes","Yes","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-23,"acer saccharum","66-72*1","90% of leaves have fallen","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-30,"acer saccharum","66-72*1","95% of leaves have fallen","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-30,"acer Pictum","629-39*1","95% of leaves have fallen","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-23,"acer spicatum","9-2018*2","","No","","Yes","","No","","Yes",">95%","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-23,"acer Triflorum","328-2000*3","5% leaf loss","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-30,"acer maximowiczi","320-2011*2",">95% of leaves have fallen","No","","Yes","","No","","Yes","","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-30,"acer palmatum","934-26*2","10% of leaves have fallen","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-23,"acer palmatum","2389-26*1","","No","","Yes",">95%","No","","Yes",">95%","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-23,"acer saccharum","655-56*1","","No","","Yes","","No","","Yes","5-24%","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-23,"acer saccharum","655-56*2","","No","","Yes","","No","","Yes","5-24%","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-30,"acer saccharum","655-56*2","5% of leaves have fallen","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-30,"acer madshuricum","321-2000*1","95% of leaves have fallen","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-30,"acer mandshuricum","321-2000*2","95% leaves have fallen","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-23,"acer Floridanum","420-2006*1","","No","","Yes","","No","","Yes",">95%","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-30,"acer sterulliacum","78-2003*2","40% of leaves have fallen","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-23,"acer saccharum","135-69*1","90% f leaves have fallen","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-23,"acer davidii","418-2018*3","90% of leaves have fallen","No","","Yes","","No","","Yes","50-74%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-23,"acer heidreichii","457-2009*1","90% of leaves have fallen","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-30,"acer heidreichii","457-2009*1","5% of leaves have fallen","No","","Yes",">95%","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-30,"acer saccharum","135-69*2","95% of leaves have fallen","No","","Yes",">95%","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-30,"acer cappadocicum","456-2009*1","95% of leaves have fallen","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-23,"acer Pictum","629-39*1","75% of leaves have fallen","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-23,"acer griseum","349-54*1","75% of leaves have fallen","No","","Yes","","No","","Yes","25-49%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-30,"acer griseum","349-54*1","75% of leaves have fallen","No","","Yes","","No","","Yes","50-74%","?","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-30,"acer spicatum","9-2018*2","10% of leaves have fallen","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-30,"acer Triflorum","328-2000*3","20% of leaves have fallen","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-06,"PMcGrath",2024-11-06,"acer palmatum","934-26*2","10% leaf loss","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-06,"PMcGrath",2024-11-06,"acer palmatum","934-26*1","25% leaf loss
","No","","Yes","","No","","Yes","50-74%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-06,"PMcGrath",2024-11-06,"acer saccharum","655-56*2","20% leaf loss","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-06,"PMcGrath",2024-11-06,"acer sterulliacum","78-2003*2","leaf loss 99%","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-06,"PMcGrath",2024-11-06,"acer cappadocicum","456-2009*1","leaf loss 100%","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-06,"PMcGrath",2024-11-06,"acer saccharum","135-69*2","leaf loss 95%","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-06,"PMcGrath",2024-11-06,"acer saccharum","66-72*1","leaf loss 99%","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-06,"PMcGrath",2024-11-06,"acer Pictum","629-39*1","leaf loss 95%","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-06,"PMcGrath",2024-11-06,"acer maximowiczi","320-2011*2","95% leaf loss","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-06,"PMcGrath",2024-11-06,"acer palmatum","2389-26*1","leaf loss 80%","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-06,"PMcGrath",2024-11-06,"acer saccharum","655-56*1","70% leaf loss","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-06,"PMcGrath",2024-11-06,"acer mandshuricum","321-2000*2","leaf loss 95%","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-06,"PMcGrath",2024-11-06,"acer mandshuricum","321-2000*1","leaf loss 95%","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-06,"PMcGrath",2024-11-06,"acer Floridanum","420-2006*1","leaf loss 99%","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-06,"PMcGrath",2024-11-06,"acer heidreichii","457-2009*2","leaf loss 99%","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-06,"PMcGrath",2024-11-06,"acer heidreichii","457-2009*1","leaf loss 100%","No","","No","","No","","No","","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-06,"PMcGrath",2024-11-06,"acer saccharum","135-69*1","leaf loss 99%","No","","Yes",">95%","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-06,"PMcGrath",2024-11-06,"acer davidii","418-2018*3","leaf loss 90%","No","","Yes","","No","","Yes","75-94%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-13,"acer saccharum","655-56*1","90% of leaves have fallen","No","","Yes",">95%","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-22,"acer saccharum","655-56*1","100% of leaves have fallen","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-22,"acer Pictum","629-39*1","95% of leaves have fallen","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-13,"acer saccharum","66-72*1","99% of leaves have fallen","No","","Yes","","No","","Yes","","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-13,"acer spicatum","9-2018*2","100% of leaves have fallen","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-13,"acer saccharum","135-69*2","99% of leaves have fallen","No","","Yes","","No","","Yes","","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-22,"acer saccharum","135-69*2","100% of leaves have fallen","No","","Yes","","No","","Yes","","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-13,"acer heidreichii","457-2009*1","100% of leaves have fallen","No","","Yes","","No","","No","","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-22,"acer heidreichii","457-2009*2","100% of leaves have fallen","No","","Yes","","No","","Yes","","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-13,"acer cappadocicum","456-2009*1","100% of leaves have fallen","No","","Yes","","No","","Yes","","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-13,"acer madshuricum","321-2000*1","100% of leaf loss","No","","Yes","","No","","Yes","","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-13,"acer saccharum","655-56*2","85% of leaves have fallen","No","","Yes","","No","","Yes","","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-13,"acer davidii","418-2018*3","80% of leaves have fallen","No","","Yes","","No","","Yes","","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-13,"acer palmatum","934-26*2","10% of leaves have fallen","No","","Yes","","No","","Yes","","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-22,"acer palmatum","934-26*2","55% of leaves have fallen","No","","Yes","","No","","Yes","","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-13,"acer maximowiczi","320-2011*2","100% of leaves have fallen","No","","Yes","","No","","Yes","","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-13,"acer palmatum","934-26*1","25% leaf loss","No","","Yes","","No","","Yes","","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-22,"acer palmatum","934-26*1","25% leaf loss","No","","Yes","","No","","Yes","","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-13,"acer griseum","349-54*1","55% leaves have fallen","No","","Yes","","No","","Yes","75-94%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-22,"acer griseum","349-54*1","90% of leaves have fallen","No","","Yes","","No","","Yes","","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-13,"acer Pictum","629-39*1","95% of leaves have fallen","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-22,"acer saccharum","66-72*1","100% of leaves have fallen
","No","","Yes","","No","","Yes","","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-13,"acer saccharum","135-69*1","99% of leaves have fallen","No","","Yes","","No","","Yes","","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-22,"acer saccharum","135-69*1","100% of leaves have fallen","No","","Yes","","No","","Yes","","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-13,"acer Floridanum","420-2006*1","100% of leaves have fallen","No","","Yes","","No","","Yes","","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-13,"acer mandshuricum","321-2000*2","100% of leaves have fallen","No","","Yes","","No","","Yes","","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-13,"acer Triflorum","328-2000*3","","No","","Yes","","No","","Yes","","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-22,"acer Triflorum","328-2000*3","100% of leaves have fallen","No","","Yes","","No","","Yes","","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-22,"acer saccharum","655-56*2","95% of leaves have fallen","No","","Yes","","No","","Yes","","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-22,"acer davidii","418-2018*3","95% of leaves have fallen","No","","Yes","","No","","Yes","","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-13,"acer palmatum","2389-26*1","80% leaf loss","No","","Yes","","No","","Yes","","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-22,"PMcGrath",2024-11-22,"acer palmatum","2389-26*1","80% of leaves have fallen","No","","Yes","","No","","Yes","","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-30,"acer palmatum","934-26*1","40% color","No","","Yes","","No","","Yes","25-49%","No","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-02,"PMcGrath",2024-10-23,"acer palmatum","934-26*2","10% leaves fallen","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
2024-11-06,"PMcGrath",2024-11-06,"acer Triflorum","328-2000*3","leaf loss 80%","No","","Yes","","No","","Yes",">95%","Yes","No","","No","","No","","No","","No","","No","","acer","2024"
